,GO:cell_projection_assembly-biological_process,GO:cell_wall_organization_or_biogenesis-biological_process,GO:cellular_component_organization-biological_process,GO:cell_division-biological_process,GO:cell_growth-biological_process,GO:cell_motility-biological_process,GO:transposition-biological_process,GO:ion_transport-biological_process,GO:protein_secretion-biological_process,GO:transport-biological_process,GO:ATP_metabolic_process-biological_process,GO:biosynthetic_process-biological_process,GO:carbohydrate_metabolic_process-biological_process,GO:catabolic_process-biological_process,GO:cellular_amino_acid_metabolic_process-biological_process,GO:cellular_respiration-biological_process,GO:cofactor_metabolic_process-biological_process,GO:DNA_metabolic_process-biological_process,GO:electron_transport_chain-biological_process,GO:generation_of_precursor_metabolites_and_energy-biological_process,GO:GTP_metabolic_process-biological_process,GO:lipid_metabolic_process-biological_process,GO:nitrogen_compound_metabolic_process-biological_process,GO:nitrogen_cycle_metabolic_process-biological_process,GO:nucleotide_metabolic_process-biological_process,GO:oxidation-reduction_process-biological_process,GO:phosphorylation-biological_process,GO:photosynthesis-biological_process,GO:protein_metabolic_process-biological_process,GO:RNA_metabolic_process-biological_process,GO:small_molecule_metabolic_process-biological_process,GO:sulfur_compound_metabolic_process-biological_process,GO:toxin_metabolic_process-biological_process,"GO:transcription,_DNA-templated-biological_process",GO:translation-biological_process,GO:cell_communication-biological_process,GO:chemotaxis-biological_process,GO:response_to_stress-biological_process,GO:signal_transduction-biological_process,GO:phosphorelay_signal_transduction_system-biological_process,GO:cell_morphogenesis-biological_process,GO:conjugation-biological_process,GO:homeostatic_process-biological_process,GO:immune_system_process-biological_process,GO:pathogenesis-biological_process,GO:sporulation-biological_process,"GO:symbiosis,_encompassing_mutualism_through_parasitism-biological_process",GO:viral_process-biological_process,GO:DNA_polymerase_complex-cellular_component,GO:proton-transporting_two-sector_ATPase_complex-cellular_component,GO:ribosome-cellular_component,GO:transcription_factor_complex-cellular_component,GO:chromosome-cellular_component,GO:cytoplasm-cellular_component,GO:cytoskeleton-cellular_component,GO:endoplasmic_reticulum-cellular_component,GO:extrachromosomal_circular_DNA-cellular_component,GO:Golgi_apparatus-cellular_component,GO:mitochondrion-cellular_component,GO:nucleoid-cellular_component,GO:nucleus-cellular_component,GO:periplasmic_space-cellular_component,GO:thylakoid-cellular_component,GO:vacuole-cellular_component,GO:vesicle-cellular_component,GO:ATP-binding_cassette_(ABC)_transporter_complex-cellular_component,GO:cell_wall-cellular_component,GO:flagellum-cellular_component,GO:membrane-cellular_component,GO:outer_membrane-cellular_component,GO:pilus-cellular_component,GO:plasma_membrane-cellular_component,GO:respiratory_chain-cellular_component,GO:extracellular_matrix-cellular_component,GO:virion-cellular_component,GO:cofactor_binding-molecular_function,GO:cytoskeletal_protein_binding-molecular_function,GO:metal_ion_binding-molecular_function,GO:nucleic_acid_binding-molecular_function,GO:nucleotide_binding-molecular_function,GO:receptor_binding-molecular_function,GO:transcription_factor_binding-molecular_function,GO:unfolded_protein_binding-molecular_function,GO:aminoacyl-tRNA_ligase_activity-molecular_function,GO:isomerase_activity-molecular_function,GO:ligase_activity-molecular_function,GO:lyase_activity-molecular_function,GO:oxidoreductase_activity-molecular_function,GO:ATPase_activity-molecular_function,GO:GTPase_activity-molecular_function,GO:helicase_activity-molecular_function,GO:hydrolase_activity-molecular_function,"GO:hydrolase_activity,_acting_on_carbon-nitrogen_(but_not_peptide)_bonds-molecular_function","GO:hydrolase_activity,_acting_on_ester_bonds-molecular_function","GO:hydrolase_activity,_acting_on_glycosyl_bonds-molecular_function",GO:lipase_activity-molecular_function,GO:nuclease_activity-molecular_function,GO:peptidase_activity-molecular_function,GO:phosphatase_activity-molecular_function,GO:acetyltransferase_activity-molecular_function,GO:DNA_polymerase_activity-molecular_function,GO:kinase_activity-molecular_function,GO:protein_kinase_activity-molecular_function,GO:RNA_polymerase_activity-molecular_function,GO:transferase_activity-molecular_function,"GO:transferase_activity,_transferring_acyl_groups-molecular_function","GO:transferase_activity,_transferring_alkyl_or_aryl_(other_than_methyl)_groups-molecular_function","GO:transferase_activity,_transferring_glycosyl_groups-molecular_function",GO:enzyme_regulator_activity-molecular_function,GO:motor_activity-molecular_function,GO:nucleic_acid_binding_transcription_factor_activity-molecular_function,GO:protein_binding_transcription_factor_activity-molecular_function,GO:receptor_activity-molecular_function,GO:translation_regulator_activity-molecular_function,GO:transporter_activity-molecular_function,GO:phosphorelay_response_regulator_activity-molecular_function
30,False,False,True,True,False,False,True,True,False,True,True,True,True,True,True,False,True,True,False,True,False,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,True,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,False
31,False,False,True,True,False,False,True,True,False,True,True,True,True,True,True,False,True,True,False,True,False,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,True,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,False
32,False,False,True,True,False,False,True,True,False,True,True,True,True,True,True,False,True,True,False,True,False,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,True,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,False
33,False,False,True,False,False,False,True,True,False,True,True,True,True,True,True,False,True,True,False,True,False,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,True,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,False
34,False,False,True,False,False,False,True,True,False,True,True,True,True,True,True,False,True,True,False,True,False,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,True,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,False
35,False,False,True,True,False,False,True,True,False,True,True,True,True,True,True,False,True,True,False,True,False,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,True,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,False
36,False,False,True,True,False,False,True,True,False,True,True,True,True,True,True,False,True,True,False,True,False,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,True,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,False
37,False,False,True,False,False,False,False,True,False,True,False,True,True,True,True,False,True,True,False,True,False,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,False
38,False,False,True,False,False,False,False,True,False,True,False,True,True,True,True,False,True,True,False,True,False,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,False
39,False,False,True,False,False,False,True,True,False,True,True,True,True,True,True,False,True,True,False,True,False,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,True,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,False
