,GO:cell_projection_assembly-biological_process,GO:cell_wall_organization_or_biogenesis-biological_process,GO:cellular_component_organization-biological_process,GO:cell_division-biological_process,GO:cell_growth-biological_process,GO:cell_motility-biological_process,GO:transposition-biological_process,GO:ion_transport-biological_process,GO:protein_secretion-biological_process,GO:transport-biological_process,GO:ATP_metabolic_process-biological_process,GO:biosynthetic_process-biological_process,GO:carbohydrate_metabolic_process-biological_process,GO:catabolic_process-biological_process,GO:cellular_amino_acid_metabolic_process-biological_process,GO:cellular_respiration-biological_process,GO:cofactor_metabolic_process-biological_process,GO:DNA_metabolic_process-biological_process,GO:electron_transport_chain-biological_process,GO:generation_of_precursor_metabolites_and_energy-biological_process,GO:GTP_metabolic_process-biological_process,GO:lipid_metabolic_process-biological_process,GO:nitrogen_compound_metabolic_process-biological_process,GO:nitrogen_cycle_metabolic_process-biological_process,GO:nucleotide_metabolic_process-biological_process,GO:oxidation-reduction_process-biological_process,GO:phosphorylation-biological_process,GO:photosynthesis-biological_process,GO:protein_metabolic_process-biological_process,GO:RNA_metabolic_process-biological_process,GO:small_molecule_metabolic_process-biological_process,GO:sulfur_compound_metabolic_process-biological_process,GO:toxin_metabolic_process-biological_process,"GO:transcription,_DNA-templated-biological_process",GO:translation-biological_process,GO:cell_communication-biological_process,GO:chemotaxis-biological_process,GO:response_to_stress-biological_process,GO:signal_transduction-biological_process,GO:phosphorelay_signal_transduction_system-biological_process,GO:cell_morphogenesis-biological_process,GO:conjugation-biological_process,GO:homeostatic_process-biological_process,GO:immune_system_process-biological_process,GO:pathogenesis-biological_process,GO:sporulation-biological_process,"GO:symbiosis,_encompassing_mutualism_through_parasitism-biological_process",GO:viral_process-biological_process,GO:DNA_polymerase_complex-cellular_component,GO:proton-transporting_two-sector_ATPase_complex-cellular_component,GO:ribosome-cellular_component,GO:transcription_factor_complex-cellular_component,GO:chromosome-cellular_component,GO:cytoplasm-cellular_component,GO:cytoskeleton-cellular_component,GO:endoplasmic_reticulum-cellular_component,GO:extrachromosomal_circular_DNA-cellular_component,GO:Golgi_apparatus-cellular_component,GO:mitochondrion-cellular_component,GO:nucleoid-cellular_component,GO:nucleus-cellular_component,GO:periplasmic_space-cellular_component,GO:thylakoid-cellular_component,GO:vacuole-cellular_component,GO:vesicle-cellular_component,GO:ATP-binding_cassette_(ABC)_transporter_complex-cellular_component,GO:cell_wall-cellular_component,GO:flagellum-cellular_component,GO:membrane-cellular_component,GO:outer_membrane-cellular_component,GO:pilus-cellular_component,GO:plasma_membrane-cellular_component,GO:respiratory_chain-cellular_component,GO:extracellular_matrix-cellular_component,GO:virion-cellular_component,GO:cofactor_binding-molecular_function,GO:cytoskeletal_protein_binding-molecular_function,GO:metal_ion_binding-molecular_function,GO:nucleic_acid_binding-molecular_function,GO:nucleotide_binding-molecular_function,GO:receptor_binding-molecular_function,GO:transcription_factor_binding-molecular_function,GO:unfolded_protein_binding-molecular_function,GO:aminoacyl-tRNA_ligase_activity-molecular_function,GO:isomerase_activity-molecular_function,GO:ligase_activity-molecular_function,GO:lyase_activity-molecular_function,GO:oxidoreductase_activity-molecular_function,GO:ATPase_activity-molecular_function,GO:GTPase_activity-molecular_function,GO:helicase_activity-molecular_function,GO:hydrolase_activity-molecular_function,"GO:hydrolase_activity,_acting_on_carbon-nitrogen_(but_not_peptide)_bonds-molecular_function","GO:hydrolase_activity,_acting_on_ester_bonds-molecular_function","GO:hydrolase_activity,_acting_on_glycosyl_bonds-molecular_function",GO:lipase_activity-molecular_function,GO:nuclease_activity-molecular_function,GO:peptidase_activity-molecular_function,GO:phosphatase_activity-molecular_function,GO:acetyltransferase_activity-molecular_function,GO:DNA_polymerase_activity-molecular_function,GO:kinase_activity-molecular_function,GO:protein_kinase_activity-molecular_function,GO:RNA_polymerase_activity-molecular_function,GO:transferase_activity-molecular_function,"GO:transferase_activity,_transferring_acyl_groups-molecular_function","GO:transferase_activity,_transferring_alkyl_or_aryl_(other_than_methyl)_groups-molecular_function","GO:transferase_activity,_transferring_glycosyl_groups-molecular_function",GO:enzyme_regulator_activity-molecular_function,GO:motor_activity-molecular_function,GO:nucleic_acid_binding_transcription_factor_activity-molecular_function,GO:protein_binding_transcription_factor_activity-molecular_function,GO:receptor_activity-molecular_function,GO:translation_regulator_activity-molecular_function,GO:transporter_activity-molecular_function,GO:phosphorelay_response_regulator_activity-molecular_function
0,8.78e-05,0.073524224,0.273688576,0.093373849,0.0,0.032651715,0.281199029,0.931368026,0.042029805,3.958703203,0.129082422,6.711288283,4.06233309,0.690818028,1.928470476,0.014478174,0.611467416,2.272929709,0.008835358,0.351865929,0.007893558,0.560650142,7.998393194,0.001460588,0.595377009,2.329102471,0.390918689,0.026585887,2.595216743,2.955143838,4.052811336,0.261780397,0.007925484,1.364986954,1.460396048,0.836054709,0.022962353,0.534966148,0.758978783,0.494492707,0.037552266,0.015763172,0.145356401,0.000271366,0.010663088,0.039547604,0.125562646,0.198751653,0.03474283,0.130415308,0.581681007,8.78e-05,0.044966943,1.294136483,0.00123711,0.000223478,0.098489896,0.000247422,0.00029531,0.002849343,0.001915525,0.054672268,0.000311273,2.39e-05,0.00035118,0.008332533,0.028637095,0.033657366,4.821455537,0.103182932,0.000207515,0.082503246,0.000239441,0.001700028,0.236415657,1.94524728,0.001269035,1.258228376,4.607283911,5.124339902,0.000694378,0.076142108,0.055717825,0.780209182,1.269378326,1.567689376,0.910991632,2.310617658,1.053051734,0.21183309,0.136936074,5.626550577,0.492146189,0.774877638,1.6131352,0.000877949,0.347132986,0.808511059,0.089279415,0.104723333,0.182006774,0.822606129,0.273353359,0.2901142,4.17199688,0.38384721,0.234571965,0.396330046,0.040808658,0.009833027,0.686212787,0.269394608,1.263280572,0.0,1.942964613,0.005076141
1,0.0,0.049433888,0.283084269,0.092284093,1.41e-05,0.032046214,0.22321215,0.937738623,0.036702622,4.530769149,0.131434494,6.555687542,3.905305266,0.617515633,1.874900471,0.022269165,0.646298142,1.89769014,0.008299941,0.318056565,0.007160458,0.551903894,7.584936535,0.003038623,0.571120368,2.415550207,0.412394542,0.02761489,2.452055881,2.886789926,3.950940876,0.26903064,0.005289454,1.425718902,1.330508727,0.96708384,0.027755566,0.519899883,0.890836921,0.571809685,0.034282978,0.010536705,0.143912542,0.000281354,0.010536705,0.042062414,0.166533399,0.256791744,0.032777734,0.129169595,0.508772335,0.000112542,0.046718822,1.181545882,0.001026942,0.000112542,0.038053121,0.000154745,0.000309489,0.000618979,0.001885071,0.086066171,0.00073152,0.0,0.000140677,0.008792311,0.018358345,0.033523322,5.589138275,0.132531775,0.000604911,0.083055684,0.000196948,0.001533379,0.297827216,2.046146548,0.000464234,1.329833478,4.13894158,5.090396208,0.000647114,0.104565193,0.051023538,0.727356213,1.161879242,1.510898808,0.982361359,2.43483702,1.122503758,0.191475426,0.183977343,5.498317222,0.455554236,0.734572941,1.492582666,0.003699804,0.312274741,0.802730934,0.092818666,0.124442849,0.121615242,0.820174878,0.337976424,0.258001566,4.073695601,0.421622951,0.225519253,0.381150186,0.045283917,0.007230796,0.769995403,0.321981452,1.527329878,0.0,2.195418883,0.005824027
2,0.0,0.079801654,0.275555973,0.108730795,0.0,0.022123918,0.162783708,1.037240957,0.031304025,3.741803179,0.144284613,6.826541258,3.548409856,0.690285697,2.096925261,0.013041029,0.694132731,2.124257259,0.008082938,0.330094973,0.003472053,0.562583607,8.178155735,0.001736026,0.614719947,2.389827608,0.410799361,0.033456698,2.707062099,2.969965913,4.321274849,0.302193559,0.004944203,1.252855416,1.465372804,0.803432943,0.023346081,0.58583247,0.717631583,0.476643364,0.043886743,0.024068268,0.106772558,0.000263876,0.009138442,0.054330677,0.118994183,0.181518904,0.036900974,0.144965135,0.501142166,8.33e-05,0.053358503,1.228939919,0.001041616,8.33e-05,0.067982788,1.39e-05,0.00077774,0.000597193,0.000944398,0.05291408,0.000680522,0.0,8.33e-05,0.008971784,0.019443494,0.022707223,4.549138709,0.069954913,0.000208323,0.08837068,0.000583305,0.000569417,0.216114434,2.091175543,0.000611081,1.257035767,4.316594522,5.724734013,0.000708299,0.077093453,0.05585838,0.8529583,1.315921777,1.723721285,0.936718094,2.383314038,1.264743724,0.219503158,0.152520321,5.651612588,0.520085685,0.729353232,1.319921582,0.000305541,0.368856967,0.877332108,0.075899067,0.107786397,0.148034429,0.829876095,0.251557146,0.2865971,4.287401505,0.390772562,0.273889388,0.437992476,0.043067339,0.005541396,0.595568106,0.221294737,0.722242468,0.0,2.11004962,0.005499731
3,2.8e-05,0.079041642,0.273729417,0.107519572,0.0,0.02274318,0.163678163,1.044004277,0.030855753,3.745673061,0.145312975,6.82018453,3.554146392,0.68927501,2.109842566,0.012462591,0.693457182,2.121801618,0.007637009,0.330433508,0.004028312,0.561264196,8.174802459,0.001734412,0.610806843,2.395153381,0.407572892,0.032436307,2.716117557,2.96353706,4.33450602,0.298878395,0.004559826,1.244594648,1.477187723,0.81366314,0.023414565,0.583461876,0.727222272,0.482921914,0.043136511,0.024519554,0.107002046,0.000237782,0.00987496,0.054606012,0.119744381,0.18159576,0.036436644,0.147271182,0.506895967,6.99e-05,0.054032537,1.244874392,0.00104904,6.99e-05,0.068719092,0.0,0.000657398,0.000559488,0.001160937,0.054452152,0.000811257,2.8e-05,9.79e-05,0.008644087,0.018994612,0.023470514,4.551391474,0.070859133,0.000153859,0.086986369,0.000531513,0.00069936,0.219165367,2.101436261,0.000783283,1.25326671,4.304041908,5.703964363,0.00069936,0.075796613,0.057347502,0.856226176,1.309509223,1.726915113,0.939505939,2.388579399,1.250609142,0.216829506,0.155915269,5.629300713,0.519876085,0.728397196,1.313020009,0.000139872,0.362576083,0.872633157,0.079265437,0.106386609,0.147522952,0.8321682,0.255671948,0.287618702,4.281032971,0.386354316,0.272190826,0.437547452,0.041905638,0.006028481,0.590427499,0.216619698,0.724466794,0.0,2.112905762,0.006028481
4,0.0,0.075322971,0.277086434,0.101965342,9.63e-06,0.03690055,0.255529809,0.954068495,0.041321681,3.856882887,0.156126604,6.853176746,3.832619643,0.654982359,1.996000947,0.016576833,0.647816082,2.126621768,0.010344868,0.348990012,0.005702199,0.565654324,8.04791273,0.001897522,0.617821743,2.286235189,0.397911415,0.026806116,2.687132554,2.960414311,4.179529124,0.287729898,0.004267017,1.380760606,1.460755143,0.894908177,0.033558214,0.534012897,0.816233237,0.538106537,0.043122883,0.025785114,0.116037831,0.000423812,0.013793158,0.059892358,0.13448329,0.20699369,0.038335732,0.154229081,0.574997455,0.00023117,0.054768084,1.30642974,0.001464078,0.000250434,0.034877811,0.000144481,0.000433444,0.000500869,0.002119061,0.049065884,0.000433444,9.63e-06,0.000202274,0.009410555,0.024417357,0.039019611,4.667250179,0.071576087,0.000481605,0.079223969,0.000250434,0.000915049,0.242160463,1.968771019,0.001049898,1.254801719,4.521458811,5.341246291,0.000905417,0.061693559,0.054960726,0.780873822,1.272129855,1.589950413,0.921569812,2.275129386,1.201834837,0.215624046,0.147053172,5.653672876,0.484985541,0.719459593,1.453550337,0.00059719,0.335533978,0.867215908,0.086332454,0.111693756,0.1219712,0.811426822,0.275487507,0.275709045,4.196510504,0.398306331,0.252746134,0.428348831,0.046821607,0.010450822,0.697007183,0.244867081,0.967688275,2.89e-05,2.020418305,0.006694305
5,0.0,0.073356898,0.277021743,0.103100367,0.0,0.037022053,0.254324563,0.95447207,0.04135823,3.851619485,0.157196119,6.846079244,3.844679665,0.653175476,1.985708036,0.016531677,0.645984003,2.135141623,0.010675902,0.34936235,0.005875134,0.568813591,8.034472612,0.001703498,0.624080498,2.285872191,0.399421972,0.025726697,2.695234463,2.956876326,4.166176266,0.28333243,0.004442646,1.38308581,1.469973906,0.89576913,0.03423451,0.538363558,0.816662924,0.537453735,0.042597138,0.025717018,0.11545073,0.000600096,0.01341505,0.059283679,0.134363434,0.205387701,0.038164171,0.15344068,0.580331563,0.000125827,0.055121723,1.311829248,0.001548635,0.000222616,0.034147399,7.74e-05,0.000464591,0.000609775,0.001771251,0.0495176,0.000503306,0.0,0.000222616,0.009340204,0.024449073,0.038348071,4.66489477,0.071459821,0.000580738,0.077247844,0.000251653,0.000745281,0.245100506,1.967269602,0.001064687,1.2573173,4.539794109,5.341754681,0.000909823,0.060561303,0.055228191,0.785709585,1.269667663,1.594580939,0.923363867,2.277170799,1.199630651,0.214611757,0.14743004,5.646206619,0.477424775,0.720918573,1.453529339,0.000435554,0.337273319,0.868019528,0.085978273,0.110591888,0.121848528,0.811252381,0.275415034,0.280564245,4.183821024,0.395927865,0.251101467,0.429213836,0.046875242,0.010433928,0.701134762,0.244335868,0.964083286,4.84e-05,2.019594103,0.00619454
6,0.0,0.093603171,0.269514521,0.091238318,1.13e-05,0.027150776,0.280268976,0.942765917,0.038141716,4.085927081,0.132127768,6.945294509,4.003495029,0.674400039,2.053943219,0.014256691,0.632643475,2.095981314,0.009887342,0.338883571,0.007950414,0.576855445,7.92664133,0.001328823,0.606292246,2.264268825,0.377329339,0.026587715,2.868286306,2.886743428,4.182807264,0.278129347,0.003502236,1.306863335,1.533889314,0.737879476,0.019988646,0.544670909,0.660357311,0.434975469,0.037420998,0.014042728,0.108997245,0.000394142,0.010157611,0.028952569,0.120742686,0.185325721,0.038569642,0.132093985,0.615729139,6.76e-05,0.046610145,1.336322659,0.000979725,9.01e-05,0.030134996,4.5e-05,0.00046171,0.000292791,0.001520263,0.03893,0.000304053,0.0,4.5e-05,0.008029242,0.025821953,0.027409783,4.917578646,0.105967979,0.000563061,0.071159581,0.000405404,0.000990986,0.217172421,1.916939348,0.000720717,1.229160992,4.407153075,5.226822714,0.000889636,0.079177562,0.054324074,0.813746243,1.259802742,1.596028667,0.92965787,2.248852229,1.03581729,0.217093592,0.146452027,5.698002971,0.470065397,0.744681246,1.589485904,0.00065315,0.342149321,0.934139831,0.097184236,0.09377209,0.123152585,0.786595467,0.2473412,0.296248632,4.029834997,0.374401425,0.233703876,0.402926068,0.051542555,0.007758973,0.651584829,0.252859193,1.294205736,0.0,2.011128102,0.005731956
7,0.0,0.06090441,0.250936763,0.068890832,0.0,0.006069257,0.080849281,0.920207384,0.017307445,4.856390578,0.090138527,6.580917494,4.536382918,0.788675042,1.763664619,0.016936722,0.608842854,1.993258358,0.010242533,0.319435688,0.012774038,0.536403678,7.44033698,0.00142993,0.548806994,2.386986835,0.399660037,0.023133084,2.425065332,2.733824212,3.846870848,0.247684997,0.012604565,1.319507291,1.221255237,0.796301333,0.004183868,0.479513663,0.735238042,0.462089706,0.028895171,0.001800652,0.172036423,7.41e-05,0.0272534,0.005444325,0.111873458,0.177099433,0.023916897,0.094788447,0.486324365,0.000158881,0.024626566,1.160107209,0.004713472,9.53e-05,0.245217044,2.12e-05,0.000264802,0.000381315,0.001970125,0.050291155,0.000105921,0.0,2.12e-05,0.007139056,0.050301747,0.005942152,5.912621343,0.180266463,0.001143944,0.071062207,0.000190657,0.001059207,0.199851203,1.8848591,0.000942694,1.106024092,3.857717129,4.833585848,0.000423683,0.114923974,0.036002451,0.641477026,1.305631677,1.340839723,1.019815223,2.371554187,0.79750883,0.190826758,0.124022564,5.949248726,0.542748329,0.875180489,2.003617404,0.000434275,0.349813749,0.853371414,0.109649123,0.084651834,0.327178493,0.84890156,0.284534813,0.250852026,3.969378745,0.35293841,0.191684716,0.326617113,0.043893544,0.005603206,0.710103057,0.2985799,2.187548724,0.0,2.155581852,0.000953286
8,1.22e-05,0.060563468,0.317212771,0.102124475,1.22e-05,0.023805011,0.226624194,0.946957963,0.032542477,4.0300124,0.126039468,6.513493396,4.130878191,0.698936143,1.924539826,0.01213469,0.628449848,2.305994354,0.007747627,0.342850816,0.005181378,0.551108002,7.982353008,0.001515309,0.582465116,2.32799077,0.406994812,0.028314277,2.46889004,2.869102623,4.067614052,0.257101452,0.008676364,1.291165225,1.352840733,0.846141053,0.017707116,0.53728692,0.770497819,0.508960424,0.040546728,0.020762173,0.140569324,0.000305506,0.010924887,0.05330465,0.173954996,0.294422039,0.03431441,0.126528277,0.491595475,7.33e-05,0.042978554,1.205134795,0.001222023,0.000378827,0.083867449,4.89e-05,0.000415488,0.000611012,0.001539749,0.05855935,0.000329946,0.0,0.000146643,0.008688585,0.021690911,0.024244939,4.865081923,0.082987592,0.000439928,0.082828729,0.000219964,0.002737332,0.33724173,2.002895951,0.000830976,1.264195174,4.478287154,5.209985738,0.001112041,0.094144664,0.052314811,0.760342807,1.261188997,1.55530553,0.980123671,2.316674836,1.115560497,0.212314303,0.141192555,5.823551344,0.5013961,0.778563172,1.711247904,0.000659893,0.351026151,0.814747278,0.09288598,0.107745782,0.157531005,0.810421316,0.286087841,0.279464475,4.142291887,0.386599245,0.243976923,0.404404123,0.036452951,0.006476723,0.640413454,0.23800123,1.129650424,0.0,2.082852926,0.005547985
9,1.08e-05,0.060158132,0.328234628,0.100966967,0.0,0.023548137,0.229702555,0.937531857,0.03214061,4.021320587,0.123757582,6.499653812,4.110632525,0.704020044,1.919779202,0.0123368,0.621688137,2.324707602,0.008365216,0.344012745,0.004469385,0.55563215,7.990480319,0.001720659,0.581939834,2.329122877,0.406335228,0.028883262,2.45961159,2.859226509,4.05415379,0.254668343,0.008906304,1.291132676,1.345901574,0.854063666,0.018093973,0.535114104,0.778787544,0.510851731,0.039564334,0.020929273,0.141808268,0.000378761,0.012347622,0.049487882,0.194824042,0.327920797,0.033763873,0.125575636,0.492508857,6.49e-05,0.043211265,1.203303319,0.001028067,0.000357118,0.086087055,0.000129861,0.000346296,0.000649305,0.001396006,0.05916253,0.000303009,3.25e-05,0.000205613,0.009111917,0.022498427,0.024511273,4.868956131,0.084290644,0.000422048,0.080524673,0.000119039,0.002424073,0.371727258,1.988021184,0.000757523,1.254392821,4.480606659,5.206172815,0.001092997,0.094733637,0.052766874,0.756202543,1.261318743,1.54593088,0.964348164,2.31167821,1.120711691,0.209292727,0.141245536,5.809323288,0.500527777,0.778246456,1.699870334,0.000508622,0.351977557,0.814899738,0.09123821,0.109364648,0.158906639,0.816674505,0.293302005,0.282631755,4.157003742,0.388847273,0.241119506,0.397136737,0.035387136,0.005962787,0.640377307,0.242017712,1.132907808,0.0,2.085730803,0.005129512
10,0.0,0.067758146,0.342008988,0.105241376,0.0,0.013863261,0.223763523,0.996174352,0.025396563,3.907182553,0.13349214,6.747942463,3.76965667,0.680872529,1.997591113,0.013382707,0.636938223,2.314392847,0.008198546,0.337407317,0.004091992,0.574335113,8.120288839,0.001995028,0.609779628,2.256012789,0.390894459,0.030478788,2.682934253,2.933841808,4.154070928,0.265455243,0.004820105,1.28277398,1.453050362,0.758576692,0.013193398,0.559758302,0.67673685,0.449318203,0.038356965,0.020896828,0.11996381,0.000364056,0.013309896,0.049569897,0.243844865,0.382725037,0.040264619,0.13899667,0.53475492,7.28e-05,0.049671832,1.262066462,0.000465992,0.000145623,0.055889913,2.91e-05,0.001019358,0.001135855,0.000538803,0.049540772,0.000553366,0.0,0.00013106,0.008227671,0.023037478,0.014198193,4.707844145,0.075723697,0.000334932,0.089834516,0.000655301,0.000742675,0.459045785,1.944599087,0.000509679,1.226796694,4.581560319,5.404414779,0.000728113,0.071413271,0.056283094,0.814073424,1.28814745,1.662047764,0.933585804,2.251571303,1.156053287,0.213875756,0.14158875,5.591889177,0.482607505,0.752242113,1.41089265,0.000728113,0.354124779,0.886374992,0.087388058,0.099722283,0.130070011,0.801666387,0.254504431,0.28362893,4.134251706,0.366633751,0.257518817,0.40605376,0.039827752,0.003116321,0.652767388,0.259339098,1.02775987,0.0,2.038642094,0.003378442
11,0.0,0.067153377,0.338292721,0.107538535,0.0,0.013631049,0.2168127,0.994205816,0.024962035,3.906001076,0.132740453,6.731762687,3.770085689,0.686971003,2.017225921,0.01295373,0.635720517,2.305086583,0.006942522,0.339703803,0.00327371,0.573788142,8.124401525,0.001989625,0.609149849,2.260270629,0.388781223,0.029703269,2.685514202,2.938168377,4.177083977,0.267752748,0.005376221,1.277988452,1.459707551,0.752896739,0.011895419,0.558393241,0.67343873,0.445238601,0.039425622,0.01986803,0.11920818,0.000380992,0.013221835,0.050051067,0.242494386,0.378184,0.038409643,0.137185361,0.531639132,2.82e-05,0.050036956,1.263567198,0.000592654,9.88e-05,0.0564856,2.82e-05,0.000818427,0.001439303,0.000550322,0.049571299,0.000507989,0.0,0.000211662,0.008085498,0.022422088,0.013729825,4.705195405,0.077101503,0.000197551,0.087868056,0.000564433,0.0010442,0.441626232,1.946827056,0.000578544,1.230914768,4.576829305,5.408817172,0.001001868,0.0713584,0.056654929,0.823479044,1.290420082,1.670734815,0.928717516,2.255755167,1.161306109,0.207711223,0.142251144,5.590987816,0.480543865,0.757341646,1.41236576,0.000550322,0.354125057,0.885538417,0.090337449,0.099255485,0.126249478,0.805967521,0.255575113,0.283345201,4.130377174,0.370112613,0.263223176,0.405841201,0.038818857,0.003527704,0.645400537,0.257846955,1.027182795,0.0,2.03431412,0.003372485
12,1.19e-05,0.063991819,0.289175197,0.105713673,0.0,0.013003749,0.223141467,1.001826018,0.025697032,3.865062879,0.13636622,6.772768024,3.830577271,0.692255593,2.021921765,0.013564976,0.643273611,2.275118729,0.007690004,0.346683053,0.004131586,0.580081839,8.144991921,0.002113557,0.619821487,2.275632192,0.389085544,0.029709208,2.708326268,2.96436519,4.20467686,0.264624501,0.00513463,1.292087846,1.483370725,0.757560922,0.012490286,0.569681228,0.676397945,0.45125039,0.038485843,0.021266921,0.121893728,0.000226879,0.012346994,0.049292448,0.150910358,0.237040791,0.038963483,0.139482821,0.554444512,8.36e-05,0.049614855,1.287311446,0.00059705,0.000179115,0.054307668,2.39e-05,0.000811988,0.001253805,0.000549286,0.047608767,0.000740342,0.0,0.000167174,0.00823929,0.022031145,0.013576917,4.643675784,0.075550707,0.000262702,0.088064875,0.000632873,0.000668696,0.283527104,1.968175324,0.000501522,1.232729135,4.608175191,5.433560993,0.000740342,0.072338578,0.056564517,0.822842369,1.308267901,1.676074583,0.940102989,2.2683243,1.16078461,0.212573682,0.146360837,5.616497112,0.484577721,0.753094988,1.43745758,0.000776165,0.353370013,0.88029052,0.088088757,0.097868436,0.130240487,0.809731151,0.257030025,0.281270255,4.160041402,0.367197691,0.264994672,0.407391097,0.038879896,0.003295716,0.656647531,0.260015275,1.019355406,0.0,2.012846605,0.003713651
13,0.0,0.066494883,0.288248882,0.10793675,0.0,0.013129637,0.221510428,1.002085896,0.025980907,3.874298342,0.135112314,6.76765507,3.811526615,0.692936302,2.029201611,0.013674772,0.646982573,2.271543159,0.007550701,0.346276774,0.003873939,0.58518513,8.149097001,0.002366118,0.616188239,2.287282485,0.386315207,0.032476134,2.704995154,2.964247489,4.207085921,0.271628061,0.004883019,1.287736687,1.477814857,0.750198684,0.012897665,0.573702497,0.669634676,0.445723334,0.038855374,0.020819521,0.120822815,0.000197177,0.012422121,0.04896937,0.148914671,0.23560275,0.036582045,0.137640813,0.549055432,4.64e-05,0.050210422,1.286797199,0.000637924,9.28e-05,0.054954257,2.32e-05,0.000869896,0.001252651,0.00067272,0.049630491,0.000614727,0.0,0.000139183,0.008049442,0.021689418,0.013361609,4.64420308,0.07635371,0.000162381,0.088543858,0.000661121,0.000730713,0.280002264,1.959227142,0.000556734,1.243940301,4.59741425,5.435797236,0.000800305,0.073465654,0.057424763,0.823490359,1.302385743,1.688724147,0.934361559,2.279175051,1.159084804,0.211721193,0.150874837,5.630654037,0.48221259,0.756949081,1.435387109,0.00075391,0.354013053,0.887329158,0.088497464,0.099933702,0.127190457,0.804503419,0.253696596,0.282704742,4.163799875,0.373684311,0.26508644,0.406473607,0.038820578,0.003317205,0.652457121,0.258394037,1.011156016,1.16e-05,2.015990784,0.003479586
14,0.0,0.064741235,0.282761834,0.106979118,0.0,0.017617826,0.209756898,1.038019226,0.029249012,3.772759121,0.144171119,6.744708933,3.642196917,0.694407473,2.031587651,0.011951899,0.672267596,2.255915602,0.007632966,0.341986808,0.004105125,0.575166434,8.157010751,0.00174254,0.624919688,2.304631885,0.400687951,0.032477522,2.757392912,2.985387681,4.216508117,0.276807265,0.005559023,1.250138708,1.513294296,0.758881448,0.017820944,0.583259088,0.671508576,0.453167264,0.041756814,0.025924289,0.119903846,0.000320713,0.012646777,0.057183102,0.141102966,0.22255334,0.036090887,0.146148848,0.540561517,2.14e-05,0.055290896,1.288784607,0.000577283,0.000128285,0.061480654,4.28e-05,0.000726949,0.000662807,0.000855234,0.051014725,0.000406236,0.0,0.000160356,0.010391097,0.017382637,0.017991991,4.548050376,0.067788007,0.000106904,0.084368862,0.000342094,0.001133185,0.268885658,1.977900319,0.00075902,1.236273223,4.570051278,5.623849576,0.00049176,0.071903822,0.057183102,0.865293973,1.304830941,1.731881488,0.935049019,2.296485778,1.220034462,0.220703896,0.152830366,5.670042918,0.50447063,0.750115296,1.326211798,0.00049176,0.360598844,0.909530966,0.081728326,0.102649494,0.126467769,0.795645831,0.23676092,0.291303486,4.221094311,0.373619786,0.278154259,0.408064346,0.040741223,0.004682408,0.610327253,0.248531082,0.870660568,0.0,2.0385685,0.004051672
15,0.0,0.066125491,0.277162097,0.108064763,0.0,0.017588102,0.20562409,1.037790811,0.02808323,3.776606773,0.140519245,6.739738049,3.644345482,0.686513318,2.033632039,0.01184568,0.67323461,2.256132871,0.007402261,0.339225623,0.004031036,0.580479537,8.159302018,0.001639219,0.619367181,2.314959196,0.396660158,0.033145222,2.752290551,2.99135884,4.211030833,0.273131061,0.006299139,1.252208951,1.510772609,0.749319131,0.016691171,0.592871623,0.662254933,0.447589363,0.041691844,0.025124387,0.118838249,0.000433001,0.014031305,0.057846917,0.137106782,0.215222286,0.035650444,0.144189447,0.538901098,7.22e-05,0.05384681,1.28448817,0.000618573,0.000185572,0.063166648,5.15e-05,0.000567026,0.000731979,0.000835074,0.053269475,0.000402073,0.0,0.000123715,0.010422961,0.018258223,0.017567483,4.541637667,0.06962043,0.000154643,0.087662153,0.000350525,0.00139179,0.259759567,1.983311097,0.000577335,1.252260499,4.549967788,5.643048746,0.000597954,0.07356899,0.058372705,0.866095469,1.311849731,1.738727197,0.940643867,2.31022711,1.224280365,0.224294695,0.15688051,5.66893604,0.497013373,0.751803734,1.323994388,0.000443311,0.36133962,0.909333746,0.082012516,0.102435746,0.125962152,0.792196574,0.234563013,0.289234587,4.219525907,0.375381235,0.280966323,0.41562974,0.04083615,0.004453728,0.613418567,0.249769607,0.861002549,0.0,2.041456992,0.004330013
